date,us_score,tw_score,divergence
2018-08-06,65.91612585981856,61.17165012515252,4.744475734666047
2018-08-07,66.20414237197218,61.738053321207374,4.466089050764808
2018-08-08,66.18488153741112,64.47719448083097,1.7076870565801414
2018-08-09,63.89224320971822,61.89340640770354,1.9988368020146794
2018-08-10,60.986159638021505,61.63446300434431,0.648303366322807
2018-08-13,59.48110072286145,62.53236036677869,3.0512596439172412
2018-08-14,62.002812957247855,58.46998588634301,3.532827070904844
2018-08-15,59.54317327740081,57.78267368363826,1.7604995937625532
2018-08-16,63.32415511015836,56.70646139983521,6.617693710323145
2018-08-17,64.66176717230435,54.513180328654435,10.148586843649916
2018-08-20,64.76809400327423,53.80129208558096,10.966801917693267
2018-08-21,63.907827345839976,54.4905774532991,9.417249892540873
2018-08-22,63.46732931361415,54.609482840416874,8.857846473197277
2018-08-23,63.882914509838976,55.192699917871515,8.690214591967461
2018-08-24,65.35047373093964,52.44235862576694,12.908115105172698
2018-08-27,65.2840324312724,53.802999070064246,11.481033361208148
2018-08-28,64.72297760942847,58.01283841764682,6.71013919178165
2018-08-29,65.69485289927715,58.449179899617704,7.2456729996594476
2018-08-30,63.15062592843533,59.95389441232736,3.196731516107974
2018-08-31,62.391515772291925,61.03082007309413,1.360695699197798
2018-09-04,61.22321264545407,56.79332343739642,4.429889208057652
2018-09-05,59.279803787828016,58.74561288061566,0.5341909072123556
2018-09-06,57.99928055313961,58.26562357829872,0.26634302515910946
2018-09-07,57.375374030744275,61.762077017298154,4.386702986553878
2018-09-10,58.37592594320739,62.385229473181404,4.009303529974012
2018-09-11,60.176403601953986,58.99985096117352,1.1765526407804643
2018-09-12,58.40630980752726,57.1232809712367,1.2830288362905549
2018-09-13,60.60897322879979,56.64791485840067,3.9610583703991225
2018-09-14,58.51475064330721,61.27305762102733,2.7583069777201175
2018-09-17,56.59356440397378,56.702483382211064,0.10891897823728414
2018-09-18,59.16973858838655,58.96518047128092,0.2045581171056341
2018-09-19,59.45710896242006,61.0772984283217,1.620189465901639
2018-09-20,60.05477310942026,61.6301814727535,1.5754083633332385
2018-09-21,60.059889461112064,67.2558769784733,7.195987517361232
2018-09-24,58.03014670424015,67.2558769784733,9.2
2018-09-25,58.37243902096111,62.24194282176254,3.869503800801432
2018-09-26,57.51073734943343,60.667482330108655,3.156744980675228
2018-09-27,58.754146375280285,64.39627873218679,5.642132356906501
2018-09-28,58.62252281249869,64.36688377054558,5.744360958046897
2018-10-01,59.94527530036394,60.4171102152798,0.4718349149158598
2018-10-02,59.34788076876288,58.53847239413899,0.8094083746238852
2018-10-03,59.77982616544195,58.097607291021134,1.682218874420819
2018-10-04,57.35205596536,56.816766288288264,0.5352896770717379
2018-10-05,55.24867913899359,60.29793191436863,5.049252775375045
2018-10-08,54.561273715358666,51.16355757427197,3.397716141086697
2018-10-09,53.20579964152091,54.46187908365242,1.256079442131508
2018-10-10,42.47978586870613,54.46187908365242,12.0
2018-10-11,31.518700161710335,47.356892751187225,15.83819258947689
2018-10-12,38.891292283417194,43.017781848451946,4.126489565034753
2018-10-15,37.75188893478391,36.83410131703637,0.9177876177475426
2018-10-16,46.240831270687735,36.45072014172513,9.790111128962607
2018-10-17,46.52488808268072,36.3949684514518,10.129919631228915
2018-10-18,40.039544064712985,33.67309663826896,6.366447426444026
2018-10-19,40.239837667358884,40.62308360333899,0.38324593598010637
2018-10-22,39.70765146751078,32.88427701664851,6.823374450862268
2018-10-23,37.553874360081,34.530273299722445,3.0236010603585513
2018-10-24,27.63057071550645,36.23737057119198,8.60679985568553
2018-10-25,31.76161118771227,39.48072842567827,7.719117237966003
2018-10-26,27.29791935207598,36.21785587588189,8.919936523805909
2018-10-29,26.37923424496965,32.57248240979329,6.19324816482364
2018-10-30,30.32036358242969,33.002417026724274,2.682053444294585
2018-10-31,35.113850320055825,37.56800247486892,2.4541521548130945
2018-11-01,40.117327529258816,35.53758424448315,4.579743284775667
2018-11-02,39.11003512369289,38.958770563793166,0.15126455989972243
2018-11-05,40.32263282936505,36.64632736523671,3.6763054641283404
2018-11-06,42.21602424062623,38.02604133499248,4.189982905633755
2018-11-07,53.98731366881937,38.98244586629049,15.004867802528878
2018-11-08,55.596320849289704,47.853771140791196,7.742549708498508
2018-11-09,51.60779073510546,43.747368151007066,7.860422584098394
2018-11-12,45.784183527103565,43.5120925634004,2.272090963703164
2018-11-13,42.99488497557672,45.80045764676392,2.8055726711871998
2018-11-14,40.112860839280316,45.408073558773175,5.295212719492859
2018-11-15,45.08451655292013,46.433028588408334,1.3485120354882056
2018-11-16,46.542178585068754,46.96116377957199,0.4189851945032359
2018-11-19,41.65723153293986,41.48082029193737,0.17641124100249073
2018-11-20,36.151359339310915,39.63331778803871,3.481958448727795
2018-11-21,40.32687432351726,41.75786758148876,1.430993257971501
2018-11-23,37.072600483677526,41.37285084556547,4.300250361887947
2018-11-26,46.13143952132775,45.62563255694697,0.5058069643807812
2018-11-27,47.681201734988434,47.56666438480219,0.11453735018624656
2018-11-28,50.956070909784046,55.68859944928388,4.732528539499832
2018-11-29,48.86097206438578,57.265616203039066,8.404644138653289
2018-11-30,49.83050359312429,60.71353630564151,10.88303271251722
2018-12-03,54.87601915420466,60.023532898410245,5.1475137442055825
2018-12-04,43.678864593402764,52.1253358765768,8.446471283174034
2018-12-06,42.47595802339794,46.56711979688716,4.091161773489219
2018-12-07,32.496665106315184,37.31042331156991,4.813758205254729
2018-12-10,33.91921983072668,37.80972064387223,3.8905008131455503
2018-12-11,35.70672578058907,37.95736562396105,2.250639843371985
2018-12-12,38.79897356012553,39.940255187032804,1.141281626907272
2018-12-13,39.65887418223075,41.90230426714426,2.2434300849135127
2018-12-14,35.17879244862986,38.554818229036684,3.3760257804068203
2018-12-17,27.50183486257286,34.731168186126496,7.229333323553636
2018-12-18,26.63428383964101,35.85613644970724,9.221852610066232
2018-12-19,24.899767062142704,34.00192209324509,9.102155031102388
2018-12-20,21.60614122266733,30.875980677735004,9.269839455067675
2018-12-21,17.633469670954263,33.28951538351678,15.656045712562516
2018-12-24,14.30193932763394,24.735358244869865,10.433418917235924
2018-12-26,20.636497672806694,27.279023053607432,6.642525380800738
2018-12-27,22.12975898737023,28.814436606602232,6.684677619232001
2018-12-28,21.329563968068065,28.686767189511933,7.357203221443868
2018-12-31,25.516904852050747,28.686767189511933,3.2
2019-01-02,26.463998403972376,26.41474322653708,0.049255177435295394
2019-01-03,19.301836811534237,25.744741049417893,6.442904237883656
2019-01-04,32.3135933298879,32.670339113512625,0.3567457836247243
2019-01-07,33.86638104425665,33.848511941422544,0.017869102834104922
2019-01-08,38.43288105276883,32.19683777688623,6.236043275882601
2019-01-09,39.361270138950175,41.9237532973793,2.5624831584291243
2019-01-10,40.88605724257049,35.41465098770531,5.47140625486518
2019-01-11,41.057345003114804,35.441124331340326,5.616220671774478
2019-01-14,39.24593665140137,32.40874198932977,6.837194662071603
2019-01-15,43.705634572089174,37.60761745191992,6.098017120169253
2019-01-16,45.10417770891864,38.583381816125744,6.520795892792897
2019-01-17,47.786935562127056,38.08432488926359,9.702610672863464
2019-01-18,52.93526147215016,39.48554582634457,13.44971564580559
2019-01-22,48.40674263385148,36.90193541629306,11.504807217558422
2019-01-23,51.199554169987174,34.42219890999892,16.777355259988255
2019-01-24,50.970220216924425,37.76801388300309,13.202206333921332
2019-01-25,48.57117090515127,44.33613676196075,4.235034143190518
2019-01-28,45.787358968049276,41.07626365649082,4.711095311558452
2019-01-29,46.04921749611755,39.121349603570465,6.927867892547084
2019-01-30,50.01000176132081,43.54173441092504,6.46826735039577
2019-01-31,54.26452877606979,43.54173441092504,10.7
2019-02-01,55.83800983943121,43.54173441092504,12.3
2019-02-04,51.864268362994814,43.54173441092504,8.3
2019-02-05,52.80888172299201,43.54173441092504,9.3
2019-02-06,51.50340343936074,43.54173441092504,8.0
2019-02-07,49.18071612600558,43.54173441092504,5.6
2019-02-08,48.85501853812899,43.54173441092504,5.3
2019-02-11,50.79327635429138,47.970974424704295,2.822301929587084
2019-02-12,53.22551963566875,49.210139968522306,4.015379667146448
2019-02-13,53.29697011312851,52.718366170763,0.5786039423655112
2019-02-14,52.32038346911655,47.48096794858401,4.83941552053254
2019-02-15,55.087227816459254,48.903978888206744,6.18324892825251
2019-02-19,55.66146186274,44.2342342235586,11.427227639181396
2019-02-20,54.42255600889357,49.553277781952126,4.8692782269414465
2019-02-21,55.56391315783126,51.24537720178796,4.3185359560432985
2019-02-22,57.9090463697793,49.72799374623727,8.18105262354203
2019-02-25,51.61365610886189,51.50797343517617,0.10568267368572037
2019-02-26,49.80082646782379,49.851126169732325,0.05029970190853561
2019-02-27,49.15907150879567,52.86699261800311,3.7079211092074402
2019-02-28,45.5529278442455,52.86699261800311,7.3
2019-03-01,47.79929457319817,52.86699261800311,5.1
2019-03-04,47.72414433038802,51.754687275695176,4.030542945307154
2019-03-05,46.699054396179726,46.710616924681936,0.011562528502210512
2019-03-06,45.89643493451058,46.742008471991774,0.8455735374811937
2019-03-07,44.830736426809196,46.13544825728928,1.3047118304800875
2019-03-08,42.50900140815522,42.56516177468412,0.056160366528899885
2019-03-11,50.74184326717338,44.35311670240732,6.38872656476606
2019-03-12,51.79103123707979,45.50230204262571,6.288729194454085
2019-03-13,53.53841890442237,44.827252211115045,8.711166693307327
2019-03-14,54.20528679591771,48.48273310378854,5.722553692129168
2019-03-15,55.69045562775945,54.068928368251385,1.6215272595080634
2019-03-18,53.331798784843194,49.506243948593166,3.825554836250028
2019-03-19,52.56599354903476,50.32011939047978,2.245874158554976
2019-03-20,51.823324322612606,48.34535844919394,3.4779658734186683
2019-03-21,53.061981552847975,48.306042613602436,4.755938939245539
2019-03-22,51.32446276657275,48.79756270353223,2.5269000630405216
2019-03-25,52.99077063367226,43.75979584755021,9.230974786122054
2019-03-26,56.197798314498435,42.811361493699145,13.38643682079929
2019-03-27,55.28237502501891,42.33438402242882,12.947991002590086
2019-03-28,57.52755410037298,43.38931865401502,14.13823544635796
2019-03-29,58.92338281450069,47.183608059378614,11.739774755122077
2019-04-01,61.10955794392096,53.2801435066709,7.829414437250058
2019-04-02,61.11538088269623,50.00325021757321,11.112130665123019
2019-04-03,61.08234278232682,50.076127480466496,11.006215301860323
2019-04-04,62.113485580402866,50.076127480466496,12.0
2019-04-05,65.00188841163038,50.076127480466496,14.9
2019-04-08,62.34358079364451,55.15505045566083,7.188530337983686
2019-04-09,60.11353707144987,52.55995592955812,7.553581141891748
2019-04-10,60.18919488118371,51.02799619823812,9.161198682945589
2019-04-11,60.60339119502701,52.154589438455446,8.448801756571562
2019-04-12,62.283058430287994,51.53173673124453,10.751321699043466
2019-04-15,62.03547509481382,51.82091426844778,10.21456082636604
2019-04-16,62.7062827860952,56.093381444992154,6.612901341103047
2019-04-17,62.190715061254686,59.133662043140724,3.0570530181139617
2019-04-18,63.53198050520707,57.87725488900445,5.654725616202626
2019-04-22,58.22441965987664,52.73853591324339,5.485883746633249
2019-04-23,57.53252185351844,52.42999607649303,5.102525777025406
2019-04-24,55.16845133899928,54.2262758022743,0.9421755367249816
2019-04-25,54.99929500629351,54.85177498509559,0.14752002119791996
2019-04-26,55.930752584676654,52.870789739558646,3.059962845118008
2019-04-29,54.413183981877616,53.13672211188951,1.276461869988104
2019-04-30,56.848141466854976,51.29400267689668,5.554138789958294
2019-05-01,57.675558893411754,51.29400267689668,6.4
2019-05-02,55.760802636443074,52.37491116211161,3.3858914743314656
2019-05-03,60.525016021073725,52.927840019660984,7.597176001412741
2019-05-06,54.8889708759403,51.915211348409706,2.9737595275305964
2019-05-07,51.898144547930634,47.38451219367069,4.513632354259947
2019-05-08,51.70276516823833,48.23995669332761,3.462808474910716
2019-05-09,49.82333414704111,50.171485785333246,0.348151638292137
2019-05-10,52.94943013956309,47.85277107068949,5.096659068873599
2019-05-13,44.54058920084204,42.66405933154901,1.8765298692930301
2019-05-14,49.15726090844044,47.31510219745458,1.8421587109858635
2019-05-15,51.88904467490518,43.7511807683806,8.13786390652458
2019-05-16,55.464901824534806,46.21667728488681,9.248224539647993
2019-05-17,53.535091876723996,47.42662614743525,6.108465729288746
2019-05-20,51.372267922729215,43.66041793077107,7.711849991958147
2019-05-21,54.74257124108973,47.735537416851955,7.007033824237773
2019-05-22,54.31665093022159,42.231438544696644,12.085212385524947
2019-05-23,49.85699751164127,41.06930262178021,8.787694889861058
2019-05-24,50.747365555744835,40.16214271315819,10.585222842586646
2019-05-28,47.898990521365434,51.05022441853955,3.151233897174116
2019-05-29,45.88222797743528,39.0388663098668,6.84336166756848
2019-05-30,47.179424224528745,38.57972355084071,8.599700673688034
2019-05-31,42.32732693622653,39.60921148211527,2.718115454111256
2019-06-03,39.818474031396796,34.409248801118686,5.4092252302781105
2019-06-04,46.640088143879005,36.20684964903468,10.433238494844325
2019-06-05,50.260996081022626,37.757105781560156,12.50389029946247
2019-06-06,51.31441323865211,39.05514705520718,12.259266183444929
2019-06-07,51.6742665123151,39.05514705520718,12.6
2019-06-10,54.38587160831188,41.956121101519756,12.429750506792125
2019-06-11,54.038264737465056,47.71945554931946,6.318809188145593
2019-06-12,52.59190471675221,44.76011209771023,7.831792619041984
2019-06-13,52.99668741922111,40.88687264006104,12.109814779160068
2019-06-14,51.32370017676408,39.59528682002191,11.728413356742166
2019-06-17,51.673217473643334,39.88100807889943,11.792209394743907
2019-06-18,53.83077213047967,41.19675172818213,12.634020402297544
2019-06-19,52.882703207579695,49.10085834189569,3.7818448656840076
2019-06-20,51.36173858383212,45.591936581241924,5.769802002590197
2019-06-21,48.797024126499096,53.07399133393924,4.276967207440144
2019-06-24,48.63385496661289,41.623142220060714,7.010712746552173
2019-06-25,46.25874206535916,40.63496756909275,5.623774496266407
2019-06-26,46.807826983920485,40.34731555216378,6.460511431756707
2019-06-27,48.10222070680642,47.02790677130017,1.0743139355062539
2019-06-28,46.67445622470363,41.90193077156481,4.772525453138826
2019-07-01,51.138356801435414,50.38166940601707,0.7566873954183464
2019-07-02,48.45793066575965,45.950114981781326,2.507815683978322
2019-07-03,49.005946828469924,43.44499884831417,5.560947980155753
2019-07-05,48.24024896071806,42.83888355602831,5.401365404689756
2019-07-08,46.28756621741381,43.74625576259714,2.5413104548166743
2019-07-09,45.8592942588805,44.6870688400158,1.1722254188647057
2019-07-10,47.18657519623726,47.64171127186654,0.4551360756292837
